starttime	tripduration	group
2015-07-13 09:41:00	632.509	All Riders
2015-07-15 17:46:00	2571.711	All Riders
2015-07-17 08:03:00	504.342	All Riders
2015-07-17 11:53:00	884.953	All Riders
2015-07-17 14:14:00	1174.109	All Riders
2015-07-18 16:48:00	725.989	All Riders
2015-07-18 16:49:00	724.828	All Riders
2015-07-19 14:36:00	1289.078	All Riders
2015-07-19 14:36:00	1279.682	All Riders
2015-07-19 17:59:00	1098.829	All Riders
2015-07-21 15:38:00	779.606	All Riders
2015-07-25 10:41:00	904.19	All Riders
2015-07-25 10:41:00	911.746	All Riders
2015-07-26 21:29:00	720.84	All Riders
2015-07-26 21:29:00	679.982	All Riders
2015-07-28 13:17:00	5853.564	All Riders
2015-07-29 10:35:00	650.162	All Riders
2015-07-29 17:24:00	539.613	All Riders
2015-07-30 18:28:00	2718.24	All Riders
2015-08-01 22:43:00	2280.47	All Riders
2015-08-01 22:44:00	2232.477	All Riders
2015-08-02 11:57:00	1043.826	All Riders
2015-08-02 11:57:00	1045.336	All Riders
2015-08-04 18:35:00	1160.468	All Riders
2015-08-04 18:35:00	1304.694	All Riders
2015-08-04 18:36:00	1111.769	All Riders
2015-08-06 03:09:00	607.25	All Riders
2015-08-07 12:07:00	956.591	All Riders
2015-08-07 17:06:00	2268.782	All Riders
2015-08-07 17:17:00	676.552	All Riders
2015-08-07 17:18:00	634.778	All Riders
2015-08-09 16:50:00	1053.404	All Riders
2015-08-15 19:07:00	1455.321	All Riders
2015-08-15 19:07:00	1430.587	All Riders
2015-08-15 19:09:00	1334.801	All Riders
2015-08-16 12:24:00	420.678	All Riders
2015-08-16 14:26:00	1218.37	All Riders
2015-08-19 12:52:00	1013.952	All Riders
2015-08-19 13:14:00	589.658	All Riders
2015-08-22 13:35:00	671.662	All Riders
2015-08-22 15:56:00	513.779	All Riders
2015-08-23 07:23:00	990.923	All Riders
2015-08-23 07:26:00	802.323	All Riders
2015-08-23 13:03:00	1045.577	All Riders
2015-08-23 13:05:00	908.453	All Riders
2015-08-23 21:18:00	1158.643	All Riders
2015-08-23 21:19:00	1068.248	All Riders
2015-08-23 21:20:00	1019.973	All Riders
2015-08-27 10:18:00	1029.688	All Riders
2015-08-27 10:18:00	1025.13	All Riders
2015-08-27 14:48:00	1651.247	All Riders
2015-08-27 14:48:00	1619.583	All Riders
2015-08-31 14:48:00	561.052	All Riders
2015-09-05 16:19:00	1107.939	All Riders
2015-09-05 16:19:00	1107.87	All Riders
2015-09-06 16:48:00	982.387	All Riders
2015-09-06 16:48:00	995.761	All Riders
2015-09-07 13:57:00	1213.961	All Riders
2015-09-07 14:00:00	1017.853	All Riders
2015-09-07 20:47:00	4892.822	All Riders
2015-09-07 20:53:00	4496.494	All Riders
2015-09-08 17:44:00	475.48	All Riders
