starttime	tripdate	tripduration
8/23/2015 7:39	2015-08-23	990.923
8/23/2015 7:39	2015-08-23	802.323
8/23/2015 13:20	2015-08-23	1045.577
8/23/2015 13:20	2015-08-23	908.453
8/23/2015 21:37	2015-08-23	1158.643
8/23/2015 21:37	2015-08-23	1068.248
8/23/2015 21:37	2015-08-23	1019.973
8/27/2015 10:36	2015-08-27	1029.688
8/27/2015 10:36	2015-08-27	1025.13
8/27/2015 15:16	2015-08-27	1651.247
8/27/2015 15:15	2015-08-27	1619.583
8/31/2015 14:57	2015-08-31	561.052
9/5/2015 16:37	2015-09-05	1107.939
9/5/2015 16:37	2015-09-05	1107.87
9/6/2015 17:04	2015-09-06	982.387
9/6/2015 17:05	2015-09-06	995.761
9/7/2015 14:17	2015-09-07	1213.961
9/7/2015 14:17	2015-09-07	1017.853
9/8/2015 17:52	2015-09-08	475.48
9/11/2015 7:24	2015-09-11	672.836
9/13/2015 17:00	2015-09-13	621.826
9/13/2015 17:00	2015-09-13	620.607
9/16/2015 9:53	2015-09-16	1089.965
9/18/2015 8:59	2015-09-18	511.977
9/20/2015 11:19	2015-09-20	936.465
9/20/2015 11:19	2015-09-20	921.504
9/21/2015 18:10	2015-09-21	487.211
9/22/2015 10:51	2015-09-22	611.701
9/26/2015 13:47	2015-09-26	552.836
9/30/2015 18:21	2015-09-30	461.147
10/3/2015 19:18	2015-10-03	627.499
10/10/2015 13:34	2015-10-10	454.973
